view,like,danmaku,reply,share
3811.810071707717,4304.224296102901,14451.35768488472,3299.2566550673646,8900
3373.178421154838,3200.2461632970185,4225.753024923569,2517.0549710988103,24210
3489.007485421757,2283.3050351220945,1116.5950800122716,1671.8101663327907,61190
4357.439220281258,4314.903649261845,855.9155102929606,1900.6333455235915,11820
2505.12554280733,5471.091953067011,4218.365344810066,3189.5149262717764,9730
2875.714563806114,4052.517875120557,4686.955340580811,2925.6677910823837,26470
3854.317772353427,4955.813163147942,5301.188172874896,2650.1460038934597,7830
3372.984783382041,4502.6822756399515,4553.977098537762,3528.0798342581656,10920
2359.998241612886,5570.320942835537,1786.7632045943062,3469.7065742605123,21450
6528.809014089207,756.602506441328,1150.3673319597126,5475.411787779879,124950
3844.8716166543795,1835.6621485430062,2334.5069158668666,2418.9878943027525,78890
4067.5045411691653,6513.812129558392,5063.727026369451,2755.217871889236,6780
3923.353847872306,4130.536482920624,1687.557214498698,3184.8450654719645,8210
2807.0994399672277,2810.5980973449764,3689.618525257941,4968.73189100025,31550
3353.8567390431513,6155.312176986605,4479.044914529377,4996.751055799123,4450
3723.174485968356,7489.934673155801,7822.497857326047,4016.0802878385475,4780
3546.4084565056255,1738.8063483653573,1123.9827601257743,4331.295891825875,51610
3651.5537671343186,1200.5372842846712,1726.6063808129265,1625.111558334668,77770
3409.683350843845,2322.0176903232677,11853.00505067847,4420.023247022308,19180
3253.224030423985,4944.5405125912785,2823.1491862314047,1683.484818332321,26940
3985.444220671298,5454.6279502803045,2609.961845813183,1919.3127887228407,13920
1484.1409191183056,3077.285277619728,451.7038697970248,1914.6429279230283,21240
2640.890878638726,3497.4881595543056,1666.449557031547,1592.4225327359823,49630
2179.2668473246204,3944.982721783964,1237.964110448388,1818.910781526877,10300
3626.5408183091245,4030.12089835666,1673.8372371450498,1620.4416975348556,11310
2473.3773671022454,5154.567791383852,5298.022024254823,4541.439627817427,11320
2278.3251966606126,1214.6280974805006,261.7349525926686,1242.1829727500624,3900
2340.297702989206,2204.8414542737387,7454.169234524267,6362.68533974421,31270
2214.222674831253,3725.314360278454,2461.1528606697707,3444.022339861545,15970
2299.945274945061,2957.439203280462,454.8700184170974,1517.7047599389857,25290
887.4587507951924,1145.5089506462214,443.2608068101645,861.5893175653626,2700
2112.8659293224987,2273.5156280597284,5377.175739756638,3287.5820030678337,25500
2387.2674914428435,2022.9958018728234,60.15682378137947,1758.2025911293176,19210
2158.97697634895,1981.1683353336243,5371.8988253898515,2318.585887106789,9910
3364.649940118176,2804.665123367785,354.60864544813165,1856.269667925375,4860
2779.299791020479,2085.292028633333,1442.7083878797498,2993.3807726796613,6170
2939.2024961826833,3317.422399346548,3898.584334182733,3194.1847870715887,8920
2829.6961261492606,4839.82352189385,7016.18534208089,2647.811073493554,19840
1834.524259477417,2552.9587023854415,5295.911258508109,2752.88294148933,17750
3769.6138753052014,2122.9664133884976,1051.1613418641045,1942.662092721902,11270
2580.0801989469132,2290.2762795452936,852.749361672888,1576.0780199366393,48430
1948.2569843779709,3715.6732775655178,1694.9448946122006,3007.3903550790983,23720
5098.95402362282,1747.1125119334251,518.1929908185494,2227.52360151045,30330
1194.8039913918028,3939.7913695539214,2306.011578286213,3677.515379852158,36920
2572.822991983831,1723.973913422379,288.1195244266069,831.235222366583,31050
2715.3909069639167,2781.6748492061683,1459.5945138534703,3086.7779886759067,11060
10978.95863237216,726.9376365553711,1895.467640550132,8858.725937243866,46520
