view,like,danmaku,reply,favorite,coin,share,point
431027,27185,1589,695,3224,13955,1132,345747
295125,34865,5035,1951,8552,43749,1137,337330
271734,8210,248,533,9415,5340,390,332976
278605,14884,7083,2732,3350,6452,3134,324632
263268,25137,2332,1476,8517,29899,1598,319728
106214,7755,429,370,15906,8189,270,314961
273619,19952,431,650,8606,6805,2529,313977
251262,15336,5096,1410,5916,9340,2553,311419
283567,13639,57,754,9069,6785,1921,306970
258588,13435,5128,995,5450,10432,994,305056
458629,14609,1014,846,873,2312,1156,304928
330648,14072,1369,1282,3930,15326,617,301999
337019,32677,6673,1135,3447,9900,1989,301833
400102,18921,335,796,3066,1598,486,301807
349282,22373,3694,1368,3782,5643,892,301383
218534,17249,5038,1182,7612,11049,1780,300472
307509,15473,811,676,6472,14498,4857,294703
1793927,62146,19627,10100,26802,14756,36607,1480610
1520225,73985,22511,7056,32769,57206,71338,1382188
1459435,91512,14385,5520,6994,37065,1562,1128155
1062875,59136,4536,1769,30388,10435,6423,1034637
1427757,100597,11035,3620,11390,44213,1210,991236
1318688,33354,3355,6981,9670,11971,31250,988586
1218525,65272,32002,4198,3504,16276,1276,894092
1133510,29974,4037,7207,7175,10411,31675,891967
1141622,70444,2211,2900,8145,33511,9292,803273
888529,40352,1885,728,16601,24100,11353,764974
1049782,41506,5932,3043,2668,14466,1888,720948
1004996,20638,966,641,7865,3445,949,659979
758807,66333,7226,2099,9753,30112,1130,653747
496411,62590,4818,3723,15038,45922,1331,644940
614042,53372,3333,1075,14299,36661,4268,606062
766159,32083,5538,1726,5465,8303,1446,600556
715100,31823,377,980,11592,3332,8813,598505
556887,91461,3228,2437,12482,150387,709,562248
674775,23039,5314,841,4240,13500,941,558704
898881,41687,1974,963,2677,4895,1570,546752
614416,57515,3068,1752,9502,14925,5821,546316
689838,546,2732,4335,7,8634,606,515435
418404,45079,2585,1103,15948,46354,652,511406
547337,84130,4532,1344,9034,59532,1688,496509
574139,64379,1240,1015,9175,68773,765,494479
575628,39418,5018,1073,4299,24051,2946,467282
355260,21908,621,427,16730,11390,605,461004
424371,18120,6268,2265,5361,17165,3190,455083
579921,26706,1974,1707,2080,3432,659,449447
360054,10890,23269,4636,1824,4800,1641,447839
453847,29046,13714,1413,3706,16086,891,445033
312832,38189,4115,1390,15485,49741,1012,421899
402164,21627,4016,1078,7131,15111,2426,418782
416535,15473,1064,718,11287,4989,6154,417869
525691,29514,825,823,4960,20452,1202,414890
478065,12995,2343,1059,7225,7249,8254,410959
342442,27353,4448,1253,8279,12943,2655,408197
458360,33439,5035,1136,5324,11176,784,406322
401395,30383,4318,1514,6580,18850,1092,405970
787193,5190,1110,2385,1974,501,12644,404009
280742,37592,1695,1487,14902,35057,2147,403330
483594,43939,4804,1181,3417,15746,681,398554
467219,27901,1603,1369,3885,10510,824,395943
334982,19010,3504,2137,10048,15669,3170,391313
399615,41607,4248,2142,6302,61138,445,384525
442694,50534,7420,1720,4542,13984,478,382674
437435,8158,1644,706,6275,2480,7860,376459
422148,11749,1067,1859,5341,980,5167,376066
408520,15731,11305,1900,3211,9877,1939,362227
391651,33613,2702,707,6270,22565,2744,362097
180385,21156,438,833,16372,24991,2170,354504
474734,36857,2476,825,2731,7231,1393,350767
259790,26649,1177,779,8779,21112,1034,350340
313985,23592,1579,682,9479,8896,4966,350304
431171,27191,1590,695,3224,13957,1134,345747
295791,34915,5038,1954,8560,43792,1138,337330
272248,8219,251,534,9424,5351,392,332976
278882,14891,7089,2733,3351,6452,3137,324632
263377,25143,2332,1476,8519,29907,1601,319728
106634,7776,429,370,15953,8209,270,314961
273843,19955,431,650,8606,6809,2529,313977
251427,15340,5096,1410,5921,9348,2553,311419
283576,13639,57,754,9069,6785,1921,306970
259666,13473,5147,994,5467,10465,997,305056
464524,14739,1035,850,884,2344,1167,304928
330863,14076,1369,1282,3930,15332,617,301999
337476,32704,6683,1135,3452,9911,1991,301833
400300,18925,335,796,3069,1598,486,301807
349360,22373,3694,1368,3782,5643,893,301383
218766,17263,5039,1182,7624,11066,1780,300472
307963,15488,812,676,6482,14510,4869,294703
233604,25199,1613,1296,8133,10422,2404,292073
607352,11822,494,955,2695,520,3046,289069
143930,26851,2200,1594,12752,37049,3733,285603
308410,11744,281,359,6206,2091,3126,280089
323588,18786,1387,1323,1992,6624,1108,273699
1308215,4912,1799,3798,786,236,4652,262024
235893,16063,1355,1719,4413,15447,1047,256575
282517,8421,372,709,4373,5699,7772,250688
366374,15090,680,559,713,3331,202,244301
807931,11402,457,950,1452,2395,471,244176
